
Training Time: 0.1796865463256836
[0.3080670843875589, 0.2707562662085099, 0.2730621330974801, 0.19684579370036803, 0.022937470755682542, 0.0026180768862766077, 0.005358668647399903, 0.0038796390938174554, 0.003529561009865064, 0.0008423366120123922]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 1]  ->  [1]  |  [0.9983155323411345]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[1, 1]  ->  [0]  |  [0.004966784507448447]
[1, 0]  ->  [1]  |  [0.9982909249636572]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[0, 0]  ->  [0]  |  [0.0058525548093383405]
[1, 0]  ->  [1]  |  [0.9982909249636572]
